Internal_ID	Sub_site	QC_total_reads
PP_HC_HMP_S066_02	SUPP	57339148
PP_HC_HMP_S066_03	SUPP	106000288
PP_HC_HMP_S067_01	SUPP	51436660
PP_HC_HMP_S067_02	SUPP	78509942
PP_HC_HMP_S067_03	SUPP	95919866
PP_HC_HMP_S068_01	SUPP	63606518
PP_HC_HMP_S068_02	SUPP	95408830
PP_HC_HMP_S068_03	SUPP	65809560
PP_HC_HMP_S069_01	SUPP	72046502
PP_HC_HMP_S069_02	SUPP	50112400
PP_HC_HMP_S070_01	SUPP	23125586
PP_HC_HMP_S070_02	SUPP	99622130
PP_HC_HMP_S070_03	SUPP	74010440
PP_HC_HMP_S072_01	SUPP	81679972
PP_HC_HMP_S072_02	SUPP	55961222
PP_HC_HMP_S073_01	SUPP	35740448
PP_HC_HMP_S073_02	SUPP	23703058
PP_HC_HMP_S073_03	SUPP	91386044
PP_HC_HMP_S074_01	SUPP	68411874
PP_HC_HMP_S074_02	SUPP	74218804
PP_HC_HMP_S074_03	SUPP	62025064
PP_HC_HMP_S076_01	SUPP	82097662
PP_HC_HMP_S076_02	SUPP	59558158
PP_HC_HMP_S077_01	SUPP	48530524
PP_HC_HMP_S077_02	SUPP	62897558
PP_HC_HMP_S077_03	SUPP	56011736
PP_HC_HMP_S078_01	SUPP	65346356
PP_HC_HMP_S078_02	SUPP	61476092
PP_HC_HMP_S078_03	SUPP	65572604
PP_HC_HMP_S079_01	SUPP	20998206
PP_HC_HMP_S080_01	SUPP	20405716
PP_HC_HMP_S081_01	SUPP	20408032
PP_HC_HMP_S081_02	SUPP	13312130
PP_HC_HMP_S082_01	SUPP	28564908
PP_HC_HMP_S084_01	SUPP	56373666
PP_HC_HMP_S084_02	SUPP	45168494
PP_HC_HMP_S085_01	SUPP	34211714
PP_HC_HMP_S086_01	SUPP	63597952
PP_HC_HMP_S087_01	SUPP	73357028
PP_HC_HMP_S088_01	SUPP	73404192
PP_HC_HMP_S091_01	SUPP	23057442
PP_HC_HMP_S097_01	SUPP	23281286
PP_HC_HMP_S098_01	SUPP	23630826
PP_HC_HMP_S098_02	SUPP	101044548
PP_HC_HMP_S098_03	SUPP	49571626
PP_HC_HMP_S099_01	SUPP	59627794
PP_HC_HMP_S100_01	SUPP	72604050
PP_HC_HMP_S100_02	SUPP	36461574
PP_HC_HMP_S101_01	SUPP	77420040
PP_HC_HMP_S101_02	SUPP	93965184
PP_HC_HMP_S102_01	SUPP	91296422
PP_HC_HMP_S103_01	SUPP	101138394
PP_HC_HMP_S105_01	SUPP	22373716
PP_HC_HMP_S105_02	SUPP	68387596
PP_HC_HMP_S106_01	SUPP	86922786
PP_HC_HMP_S107_01	SUPP	43275166
PP_HC_HMP_S109_01	SUPP	42191642
PP_HC_HMP_S109_02	SUPP	74566242
PP_HC_HMP_S110_01	SUPP	58751930
PP_HC_HMP_S110_02	SUPP	150966862
PP_HC_HMP_S111_01	SUPP	5757260
PP_HC_HMP_S111_03	SUPP	72347748
PP_HC_HMP_S112_01	SUPP	30795870
PP_HC_HMP_S112_02	SUPP	58455704
PP_HC_HMP_S113_01	SUPP	8305340
PP_HC_HMP_S113_02	SUPP	119967972
PP_HC_HMP_S114_01	SUPP	28927914
PP_HC_HMP_S114_02	SUPP	82457288
PP_HC_HMP_S114_03	SUPP	88924644
PP_HC_HMP_S115_01	SUPP	49589398
PP_HC_HMP_S115_02	SUPP	49222104
PP_HC_HMP_S115_03	SUPP	95056236
PP_HC_HMP_S117_01	SUPP	95808568
PP_HC_HMP_S117_02	SUPP	32219802
PP_HC_HMP_S118_01	SUPP	36882764
PP_HC_HMP_S118_02	SUPP	127770476
PP_HC_HMP_S119_01	SUPP	17257934
PP_HC_HMP_S119_02	SUPP	41443908
PP_HC_HMP_S121_01	SUPP	120133946
PP_HC_HMP_S121_02	SUPP	51787282
PP_HC_HMP_S122_01	SUPP	46155106
PP_HC_HMP_S122_02	SUPP	80935588
PP_HC_HMP_S123_01	SUPP	43617246
PP_HC_HMP_S123_02	SUPP	57339392
PP_HC_HMP_S123_03	SUPP	55818596
PP_HC_HMP_S124_01	SUPP	52185380
PP_HC_HMP_S124_02	SUPP	50007680
PP_HC_HMP_S126_01	SUPP	73348270
PP_HC_HMP_S127_01	SUPP	32359442
PP_HC_HMP_S132_01	SUPP	118242210
PP_HC_HMP_S138_01	SUPP	128495702
PP_HC_HMP_S139_01	SUPP	43653822
PP_HC_HMP_S140_01	SUPP	45089128
PP_HC_HMP_S141_01	SUPP	41753578
PP_HC_HMP_S142_01	SUPP	93156376
PP_HC_HMP_S143_01	SUPP	123118472
PP_HC_HMP_S144_01	SUPP	32239000
PP_HC_HMP_S148_01	SUPP	75270354
PP_HC_HMP_S149_01	SUPP	79398206
PP_HC_HMP_S150_01	SUPP	54697482
PP_HC_HMP_S152_01	SUPP	23200212
PP_HC_HMP_S152_02	SUPP	96685876
PP_HC_HMP_S153_01	SUPP	79935196
PP_HC_HMP_S154_01	SUPP	24785634
PP_HC_HMP_S154_02	SUPP	7361200
PP_HC_HMP_S157_01	SUPP	86773362
PP_HC_HMP_S158_01	SUPP	32806746
PP_HC_HMP_S162_01	SUPP	20435442
PP_HC_HMP_S164_01	SUPP	68855672
PT_HC_HMP_S024_01	PT	24739282
PT_HC_HMP_S024_02	PT	59874310
PT_HC_HMP_S028_01	PT	3316486
PT_HC_HMP_S028_02	PT	3650086
PT_HC_HMP_S030_01	PT	26011766
PT_HC_HMP_S038_01	PT	3994906
PT_HC_HMP_S117_01	PT	2109422
PT_HC_HMP_S138_01	PT	12394088
PT_HC_HMP_S140_01	PT	19333278
PT_HC_HMP_S142_01	PT	25001016
PT_HC_HMP_S148_01	PT	23124296
PT_HC_HMP_S149_01	PT	4392666
PT_HC_HMP_S154_01	PT	6127990
PT_HC_HMP_S156_01	PT	6727610
PT_HC_HMP_S159_01	PT	83232868
PT_HC_HMP_S162_01	PT	64710262
SA_HC_HMP_S024_01	SV	7178750
SA_HC_HMP_S024_02	SV	7481318
SA_HC_HMP_S028_01	SV	2211200
SA_HC_HMP_S028_02	SV	7450234
SA_HC_HMP_S030_01	SV	13517144
SA_HC_HMP_S142_01	SV	2010108
SA_HC_HMP_S159_01	SV	42527920
TD_HC_HMP_S001_01	TD	60217246
TD_HC_HMP_S001_02	TD	67832384
TD_HC_HMP_S002_01	TD	137728572
TD_HC_HMP_S002_02	TD	84500186
TD_HC_HMP_S003_01	TD	71411652
TD_HC_HMP_S003_02	TD	91863388
TD_HC_HMP_S004_01	TD	49879892
TD_HC_HMP_S005_01	TD	74636600
TD_HC_HMP_S005_02	TD	41343864
TD_HC_HMP_S005_03	TD	87660972
TD_HC_HMP_S006_01	TD	93734404
TD_HC_HMP_S006_02	TD	90422766
TD_HC_HMP_S006_03	TD	136317884
TD_HC_HMP_S008_01	TD	83240338
TD_HC_HMP_S011_01	TD	93558606
TD_HC_HMP_S012_01	TD	97944160
TD_HC_HMP_S012_02	TD	80784188
TD_HC_HMP_S015_01	TD	123668048
TD_HC_HMP_S015_02	TD	70680650
TD_HC_HMP_S015_03	TD	117189302
TD_HC_HMP_S016_01	TD	47500988
TD_HC_HMP_S016_02	TD	86638834
TD_HC_HMP_S017_01	TD	70695752
TD_HC_HMP_S017_02	TD	82346960
TD_HC_HMP_S018_01	TD	64431924
TD_HC_HMP_S018_02	TD	65663506
TD_HC_HMP_S019_01	TD	31430768
TD_HC_HMP_S019_02	TD	81227042
TD_HC_HMP_S019_03	TD	99530790
TD_HC_HMP_S020_01	TD	75331076
TD_HC_HMP_S022_01	TD	91017246
TD_HC_HMP_S022_02	TD	86084086
TD_HC_HMP_S022_03	TD	64696656
TD_HC_HMP_S023_01	TD	79192838
TD_HC_HMP_S023_02	TD	94721590
TD_HC_HMP_S024_01	TD	92089472
TD_HC_HMP_S025_01	TD	90303658
TD_HC_HMP_S025_02	TD	97225046
TD_HC_HMP_S027_01	TD	76987254
TD_HC_HMP_S027_02	TD	82336648
TD_HC_HMP_S027_03	TD	96511188
TD_HC_HMP_S028_01	TD	75751302
TD_HC_HMP_S028_02	TD	88397690
TD_HC_HMP_S029_01	TD	71256186
TD_HC_HMP_S029_02	TD	59505024
TD_HC_HMP_S030_01	TD	99738206
TD_HC_HMP_S030_02	TD	78941468
TD_HC_HMP_S030_03	TD	62811576
TD_HC_HMP_S032_01	TD	70586800
TD_HC_HMP_S032_02	TD	32294900
TD_HC_HMP_S033_01	TD	76514920
TD_HC_HMP_S034_01	TD	36984082
TD_HC_HMP_S034_02	TD	75350588
TD_HC_HMP_S034_03	TD	67321968
TD_HC_HMP_S034_04	TD	61772684
TD_HC_HMP_S035_01	TD	79685364
TD_HC_HMP_S036_01	TD	92986056
TD_HC_HMP_S036_02	TD	81074152
TD_HC_HMP_S037_01	TD	69768630
TD_HC_HMP_S037_02	TD	63087356
TD_HC_HMP_S037_03	TD	135623234
TD_HC_HMP_S038_01	TD	34363962
TD_HC_HMP_S038_02	TD	20798880
TD_HC_HMP_S039_01	TD	96928294
TD_HC_HMP_S039_02	TD	98868254
TD_HC_HMP_S040_01	TD	66886076
TD_HC_HMP_S040_02	TD	131426898
TD_HC_HMP_S041_01	TD	73718552
TD_HC_HMP_S041_02	TD	79927076
TD_HC_HMP_S042_01	TD	96366234
TD_HC_HMP_S042_02	TD	74927556
TD_HC_HMP_S044_01	TD	72429188
TD_HC_HMP_S044_02	TD	35469998
TD_HC_HMP_S045_01	TD	48863662
TD_HC_HMP_S045_02	TD	86788126
TD_HC_HMP_S046_01	TD	93225178
TD_HC_HMP_S046_02	TD	68806610
TD_HC_HMP_S047_01	TD	90693272
TD_HC_HMP_S047_02	TD	77734496
TD_HC_HMP_S048_01	TD	67550144
TD_HC_HMP_S048_02	TD	180458346
TD_HC_HMP_S049_01	TD	89087160
TD_HC_HMP_S049_02	TD	146971404
TD_HC_HMP_S051_01	TD	85966154
TD_HC_HMP_S051_02	TD	146073148
TD_HC_HMP_S052_01	TD	62790616
TD_HC_HMP_S055_01	TD	61412960
TD_HC_HMP_S055_02	TD	66411750
TD_HC_HMP_S055_03	TD	79076124
TD_HC_HMP_S055_04	TD	77546706
TD_HC_HMP_S056_01	TD	87814424
TD_HC_HMP_S057_01	TD	40747274
TD_HC_HMP_S057_02	TD	102951854
TD_HC_HMP_S057_03	TD	109186124
TD_HC_HMP_S059_01	TD	48967784
TD_HC_HMP_S059_02	TD	37333860
TD_HC_HMP_S060_01	TD	137566374
TD_HC_HMP_S061_01	TD	128735884
TD_HC_HMP_S061_02	TD	5614038
TD_HC_HMP_S062_01	TD	80367188
TD_HC_HMP_S062_02	TD	60860848
TD_HC_HMP_S063_01	TD	76559796
TD_HC_HMP_S063_02	TD	99187846
TD_HC_HMP_S064_01	TD	97896626
TD_HC_HMP_S064_02	TD	74667052
TD_HC_HMP_S066_01	TD	77979394
TD_HC_HMP_S066_02	TD	67485796
TD_HC_HMP_S066_03	TD	142911006
TD_HC_HMP_S067_01	TD	63421716
TD_HC_HMP_S067_02	TD	44542082
TD_HC_HMP_S067_03	TD	122505470
TD_HC_HMP_S068_01	TD	52488518
TD_HC_HMP_S068_02	TD	66479712
TD_HC_HMP_S068_03	TD	114582144
TD_HC_HMP_S070_01	TD	76160808
TD_HC_HMP_S070_02	TD	109790578
TD_HC_HMP_S070_03	TD	113862934
TD_HC_HMP_S072_01	TD	96009828
TD_HC_HMP_S072_02	TD	87786870
TD_HC_HMP_S073_01	TD	92093004
TD_HC_HMP_S073_02	TD	75437402
TD_HC_HMP_S073_03	TD	55137590
TD_HC_HMP_S074_01	TD	69955058
TD_HC_HMP_S074_02	TD	84983180
TD_HC_HMP_S074_03	TD	106633832
TD_HC_HMP_S075_01	TD	88246336
TD_HC_HMP_S076_01	TD	87570026
TD_HC_HMP_S076_02	TD	77248008
TD_HC_HMP_S077_01	TD	75356000
TD_HC_HMP_S077_02	TD	82185040
TD_HC_HMP_S078_01	TD	67600082
TD_HC_HMP_S078_02	TD	125534156
TD_HC_HMP_S078_03	TD	109815608
TD_HC_HMP_S079_01	TD	101023850
TD_HC_HMP_S079_02	TD	75791968
TD_HC_HMP_S080_01	TD	70070956
TD_HC_HMP_S081_01	TD	75639426
TD_HC_HMP_S081_02	TD	47175106
TD_HC_HMP_S081_03	TD	42810300
TD_HC_HMP_S082_01	TD	36486898
TD_HC_HMP_S084_01	TD	85891362
TD_HC_HMP_S085_01	TD	83330772
TD_HC_HMP_S086_01	TD	80068622
TD_HC_HMP_S087_01	TD	74869526
TD_HC_HMP_S088_01	TD	45147964
TD_HC_HMP_S089_01	TD	59346850
TD_HC_HMP_S090_01	TD	103634092
TD_HC_HMP_S091_01	TD	81725144
TD_HC_HMP_S095_01	TD	77698186
TD_HC_HMP_S096_01	TD	114063946
TD_HC_HMP_S097_01	TD	83884382
TD_HC_HMP_S098_01	TD	96490962
TD_HC_HMP_S098_02	TD	63174816
TD_HC_HMP_S098_03	TD	92083262
TD_HC_HMP_S100_01	TD	47301250
TD_HC_HMP_S100_02	TD	42129744
TD_HC_HMP_S101_01	TD	70617918
TD_HC_HMP_S101_02	TD	45200116
TD_HC_HMP_S105_01	TD	84736776
TD_HC_HMP_S105_02	TD	69838592
TD_HC_HMP_S106_01	TD	87426852
TD_HC_HMP_S107_01	TD	77329050
TD_HC_HMP_S109_01	TD	69940522
TD_HC_HMP_S109_02	TD	149441816
TD_HC_HMP_S110_01	TD	69556776
TD_HC_HMP_S111_01	TD	103794598
TD_HC_HMP_S111_02	TD	81905900
TD_HC_HMP_S111_03	TD	72614670
TD_HC_HMP_S112_01	TD	86997902
TD_HC_HMP_S113_01	TD	88654238
TD_HC_HMP_S113_02	TD	148796166
TD_HC_HMP_S113_03	TD	83878226
TD_HC_HMP_S114_01	TD	100025818
TD_HC_HMP_S114_02	TD	157465428
TD_HC_HMP_S114_03	TD	57202724
TD_HC_HMP_S115_01	TD	30134518
TD_HC_HMP_S115_02	TD	34199164
TD_HC_HMP_S115_03	TD	118258844
TD_HC_HMP_S117_01	TD	76585394
TD_HC_HMP_S117_02	TD	46722904
TD_HC_HMP_S118_01	TD	77046708
TD_HC_HMP_S118_02	TD	89377924
TD_HC_HMP_S119_01	TD	38834948
TD_HC_HMP_S119_02	TD	73375394
TD_HC_HMP_S121_01	TD	82754370
