item	Genome_ID	Species	RefSeq	Assembly_ID	Assembly_ID_norm	Strain	Genome_in_HOMD	HOMD_ID	G_ID
H_ducreyi_str_VAN1_id_GCA_001647655_1	H_ducreyi_str_VAN1_id_GCA_001647655_1	H_ducreyi	Yes	GCA_001647655_1	GCA_001647655.1	VAN1	no	NA	G_0018
H_ducreyi_str_VAN3_id_GCA_001647735_1	H_ducreyi_str_VAN3_id_GCA_001647735_1	H_ducreyi	Yes	GCA_001647735_1	GCA_001647735.1	VAN3	no	NA	G_0019
H_ducreyi_str_GHA2_id_GCA_001647835_1	H_ducreyi_str_GHA2_id_GCA_001647835_1	H_ducreyi	Yes	GCA_001647835_1	GCA_001647835.1	GHA2	no	NA	G_0020
H_ducreyi_str_GHA1_id_GCA_001647815_1	H_ducreyi_str_GHA1_id_GCA_001647815_1	H_ducreyi	Yes	GCA_001647815_1	GCA_001647815.1	GHA1	no	NA	G_0021
H_ducreyi_str_NCTC11483_id_GCA_900637315_1	H_ducreyi_str_NCTC11483_id_GCA_900637315_1	H_ducreyi	Yes	GCA_900637315_1	GCA_900637315.1	NCTC11483	no	NA	G_0022
H_ducreyi_str_CIP_54_2_id_GCA_001043455_1	H_ducreyi_str_CIP_54_2_id_GCA_001043455_1	H_ducreyi	Yes	GCA_001043455_1	GCA_001043455.1	CIP_54_2	no	NA	G_0023
H_ducreyi_str_6644_id_GCA_001043335_1	H_ducreyi_str_6644_id_GCA_001043335_1	H_ducreyi	Yes	GCA_001043335_1	GCA_001043335.1	6644	no	NA	G_0024
H_ducreyi_str_82_029362_id_GCA_001043315_1	H_ducreyi_str_82_029362_id_GCA_001043315_1	H_ducreyi	Yes	GCA_001043315_1	GCA_001043315.1	82_029362	no	NA	G_0025
H_ducreyi_str_HMC46_id_GCA_001043375_1	H_ducreyi_str_HMC46_id_GCA_001043375_1	H_ducreyi	Yes	GCA_001043375_1	GCA_001043375.1	HMC46	no	NA	G_0026
H_ducreyi_str_HD183_id_GCA_001043355_1	H_ducreyi_str_HD183_id_GCA_001043355_1	H_ducreyi	Yes	GCA_001043355_1	GCA_001043355.1	HD183	no	NA	G_0027
H_ducreyi_str_NZS2_id_GCA_001043195_1	H_ducreyi_str_NZS2_id_GCA_001043195_1	H_ducreyi	Yes	GCA_001043195_1	GCA_001043195.1	NZS2	no	NA	G_0028
H_ducreyi_str_NZS3_id_GCA_001043235_1	H_ducreyi_str_NZS3_id_GCA_001043235_1	H_ducreyi	Yes	GCA_001043235_1	GCA_001043235.1	NZS3	no	NA	G_0029
H_ducreyi_str_33921_id_GCA_001043435_1	H_ducreyi_str_33921_id_GCA_001043435_1	H_ducreyi	Yes	GCA_001043435_1	GCA_001043435.1	33921	no	NA	G_0030
H_ducreyi_str_NZS4_id_GCA_001043275_1	H_ducreyi_str_NZS4_id_GCA_001043275_1	H_ducreyi	Yes	GCA_001043275_1	GCA_001043275.1	NZS4	no	NA	G_0031
H_ducreyi_str_NZS1_id_GCA_001043155_1	H_ducreyi_str_NZS1_id_GCA_001043155_1	H_ducreyi	Yes	GCA_001043155_1	GCA_001043155.1	NZS1	no	NA	G_0032
H_ducreyi_str_DMC64_id_GCA_001043475_1	H_ducreyi_str_DMC64_id_GCA_001043475_1	H_ducreyi	Yes	GCA_001043475_1	GCA_001043475.1	DMC64	no	NA	G_0033
H_ducreyi_str_HMC56_id_GCA_001043395_1	H_ducreyi_str_HMC56_id_GCA_001043395_1	H_ducreyi	Yes	GCA_001043395_1	GCA_001043395.1	HMC56	no	NA	G_0034
H_ducreyi_str_NZV1_id_GCA_001043415_1	H_ducreyi_str_NZV1_id_GCA_001043415_1	H_ducreyi	Yes	GCA_001043415_1	GCA_001043415.1	NZV1	no	NA	G_0035
H_ducreyi_str_DMC111_id_GCA_001043495_1	H_ducreyi_str_DMC111_id_GCA_001043495_1	H_ducreyi	Yes	GCA_001043495_1	GCA_001043495.1	DMC111	no	NA	G_0036
H_ducreyi_str_AUSPNG1_id_GCA_001465235_1	H_ducreyi_str_AUSPNG1_id_GCA_001465235_1	H_ducreyi	Yes	GCA_001465235_1	GCA_001465235.1	AUSPNG1	no	NA	G_0037
H_ducreyi_str_35000HP_id_GCA_000007945_1	H_ducreyi_str_35000HP_id_GCA_000007945_1	H_ducreyi	Yes	GCA_000007945_1	GCA_000007945.1	35000HP	yes	HMT_821	G_0038
H_haemolyticus_str_ATCC_33390_id_GCA_004368535_1	H_haemolyticus_str_ATCC_33390_id_GCA_004368535_1	H_haemolyticus	Yes	GCA_004368535_1	GCA_004368535.1	ATCC_33390	no	NA	G_0039
H_haemolyticus_str_CCUG_12834_id_GCA_001679045_1	H_haemolyticus_str_CCUG_12834_id_GCA_001679045_1	H_haemolyticus	Yes	GCA_001679045_1	GCA_001679045.1	CCUG_12834	no	NA	G_0040
H_haemolyticus_str_M19066_id_GCA_003494695_1	H_haemolyticus_str_M19066_id_GCA_003494695_1	H_haemolyticus	Yes	GCA_003494695_1	GCA_003494695.1	M19066	no	NA	G_0041
H_haemolyticus_str_65151_B_Hi_4_id_GCA_006439165_1	H_haemolyticus_str_65151_B_Hi_4_id_GCA_006439165_1	H_haemolyticus	Yes	GCA_006439165_1	GCA_006439165.1	65151_B_Hi_4	no	NA	G_0042
H_haemolyticus_str_60971_B_Hi_3_id_GCA_006439235_1	H_haemolyticus_str_60971_B_Hi_3_id_GCA_006439235_1	H_haemolyticus	Yes	GCA_006439235_1	GCA_006439235.1	60971_B_Hi_3	no	NA	G_0043
H_haemolyticus_str_M26160_id_GCA_003494485_1	H_haemolyticus_str_M26160_id_GCA_003494485_1	H_haemolyticus	Yes	GCA_003494485_1	GCA_003494485.1	M26160	no	NA	G_0044
